"Expenditure ID","Org ID","Filer Type","Filer Name","Candidate Name","Expenditure Transaction Type","Expenditure Sub Type","Expenditure Date","Expenditure Amount","Description","Payee or Recipient or In-Kind Contributor Type","Payee or Recipient or In-Kind Contributor Name","First Name","Middle Name","Suffix","Address 1","Address 2","City","State","Zip","Filed Date","Support Or Oppose","Candidate Name or Ballot Issue","Jurisdiction - Office - District or Ballot Description","Amended","Employer","Occupation","Principal Place of Business"
"66560","7382","Candidate Committee","FESTERSEN FOR CITY COUNCIL","PETE FESTERSEN","Campaign Expense","Unknown","01/20/2025","285","NEWSLETTER AD","Business (For-Profit and Non-Profit entities)","SHURSON PUBLISHING","","","","131 N 31ST AVE","","OMAHA","NE","68131","02/27/2025","","","","N","","",""
"66981","7853","PAC-Separate Segregated Political Fund","STEAMFITTERS AND PLUMBERS LU 464 PAC FUND","","Direct contribution","Unknown","01/20/2025","500","","Candidate Committee","HUG FOR CITY COUNCIL","","","","4471 GROVER STREET","","OMAHA","NE","68105","03/03/2025","","","","N","","",""
"66996","7840","PAC-Separate Segregated Political Fund","WERNER ENTERPRISES PAC","","Disbursement to Federal/Out of State Candidates","Unknown","01/20/2025","1000","","State or Federal","FEDERAL","","","","","","","","","03/03/2025","","","","N","","",""
"66997","7840","PAC-Separate Segregated Political Fund","WERNER ENTERPRISES PAC","","Disbursement to Federal/Out of State Candidates","Unknown","01/20/2025","5000","","State or Federal","FEDERAL","","","","","","","","","03/03/2025","","","","N","","",""
"67074","7651","Candidate Committee","JUANITA JOHNSON FOR CITY COUNCIL","JUANITA JOHNSON","Campaign Expense","Unknown","01/20/2025","1500","CAMPAIGN MANAGER","Individual","POOLE","SYRANDA","","","2747 MARY STREET","","OMAHA","NE","68112","03/03/2025","","","","N","","",""
"66515","7874","Nebraska Business Supplemental Filer","COX COMMUNICATIONS","","Direct contribution","Unknown","01/21/2025","5000","POLITICAL CONTRIBUTION","Candidate Committee","JEAN STOTHERT FOR OMAHA","","","","5909 S 118TH PLAZA","","OMAHA","NE","68124","02/10/2025","","","","N","","",""
"66516","7874","Nebraska Business Supplemental Filer","COX COMMUNICATIONS","","Direct contribution","Unknown","01/21/2025","1000","POLITICAL CONTRIBUTION","Candidate Committee","NEIGHBORS FOR GUERECA","","","","2308 S 11TH STREET","","OMAHA","NE","68108","02/10/2025","","","","N","","",""
"66517","7874","Nebraska Business Supplemental Filer","COX COMMUNICATIONS","","Direct contribution","Unknown","01/21/2025","1000","POLITICAL CONTRIBUTION","Candidate Committee","BALLARD FOR NEBRASKA","","","","6801 NW 2ND STREET","","LINCOLN","NE","68521","02/10/2025","","","","N","","",""
"66518","7874","Nebraska Business Supplemental Filer","COX COMMUNICATIONS","","Direct contribution","Unknown","01/21/2025","1000","POLITICAL CONTRIBUTION","Candidate Committee","TANYA STORER FOR LEGISLATURE","","","","19075 ADAMSON DRIVE","","WHITMAN","NE","69366","02/10/2025","","","","N","","",""
"66519","7874","Nebraska Business Supplemental Filer","COX COMMUNICATIONS","","Direct contribution","Unknown","01/21/2025","1000","POLITICAL CONTRIBUTION","Candidate Committee","MELTON FOR OMAHA","","","","1324 N. 129TH CIRCLE","","OMAHA","NE","68154","02/10/2025","","","","N","","",""
"66520","7874","Nebraska Business Supplemental Filer","COX COMMUNICATIONS","","Direct contribution","Unknown","01/21/2025","1000","POLITICAL CONTRIBUTION","Candidate Committee","HARDING FOR COUNCIL","","","","2122 SOUTH 109TH ST","","OMAHA","NE","68144","02/10/2025","","","","N","","",""
"66521","7874","Nebraska Business Supplemental Filer","COX COMMUNICATIONS","","Direct contribution","Unknown","01/21/2025","1000","POLITICAL CONTRIBUTION","Candidate Committee","DON ROWE FOR OMAHA","","","","15077 SHARP STREET","","OMAHA","NE","68137","02/10/2025","","","","N","","",""
"66522","7874","Nebraska Business Supplemental Filer","COX COMMUNICATIONS","","Direct contribution","Unknown","01/21/2025","1000","POLITICAL CONTRIBUTION","Candidate Committee","HUG FOR CITY COUNCIL","","","","4471 GROVER STREET","","OMAHA","NE","68105","02/10/2025","","","","N","","",""
"66523","7874","Nebraska Business Supplemental Filer","COX COMMUNICATIONS","","Direct contribution","Unknown","01/21/2025","1000","POLITICAL CONTRIBUTION","Candidate Committee","DANNY BEGLEY FOR OMAHA","","","","4839 PACIFIC STREET","","OMAHA","NE","68106","02/10/2025","","","","N","","",""
"66567","7382","Candidate Committee","FESTERSEN FOR CITY COUNCIL","PETE FESTERSEN","Campaign Expense","Unknown","01/21/2025","60","NEWSLETTER AD","Business (For-Profit and Non-Profit entities)","BENSON NEIGHBORHOOD ASSOCIATON","","","","PO BOX 4131","","OMAHA","NE","68104","02/27/2025","","","","N","","",""
"66908","9743","Candidate Committee","ADAMS FOR OMAHA","ANDREW ADAMS","Campaign Expense","Unknown","01/21/2025","11","ADVERTISING","Business (For-Profit and Non-Profit entities)","FACEBOOK","","","","1 HACKER WAY","","MENLO PARK","CA","94025","03/02/2025","","","","N","","",""
"66995","7559","Candidate Committee","COMMITTEE TO ELECT JOHN EWING","JOHN EWING","Campaign Expense","Unknown","01/21/2025","200","CANIDATE PAID WITH PERSONAL CHECK - TO BE REIMBURSED LATER LEGENDS - DOWN PAYMENT FOR CAMPAIGN EVENT","Business (For-Profit and Non-Profit entities)","LEGENDS PATIO GRILL & BAR - AKSARBEN","","","","6920 PACIFIC STREET","SUITE 100","OMAHA","NE","68106","03/03/2025","","","","N","","",""
"66998","7840","PAC-Separate Segregated Political Fund","WERNER ENTERPRISES PAC","","Disbursement to Federal/Out of State Candidates","Unknown","01/21/2025","2500","","State or Federal","FEDERAL","","","","","","","","","03/03/2025","","","","N","","",""
"67004","7407","Candidate Committee","HARDING FOR COUNCIL","D. BRINKER HARDING","Campaign Expense","Unknown","01/21/2025","2495.85","POSTAGE","Business (For-Profit and Non-Profit entities)","USPS","","","","8451 W CENTER ST.","","OMAHA","NE","68124","03/03/2025","","","","N","","",""
"67005","7407","Candidate Committee","HARDING FOR COUNCIL","D. BRINKER HARDING","Campaign Expense","Unknown","01/21/2025","1102.1","YARD SIGNS","Business (For-Profit and Non-Profit entities)","DESIGN 4 (AKA DESIGN FOUR INC., DESIGN4)","","","","3232 H STREET","","OMAHA","NE","68107","03/03/2025","","","","N","","",""
"67079","9665","Candidate Committee","GOODWIN FOR CITY COUNCIL","LAVONYA GOODWIN","Campaign Expense","Unknown","01/21/2025","49","CAMPAIGN WEBSITE MONTHLY","Candidate Committee","GOODWIN FOR CITY COUNCIL","","","","4111 N 18TH STREET","","OMAHA","NE","68110","03/03/2025","","","","N","","",""
"61442","7409","Candidate Committee","RICK HOLDCROFT FOR LEGISLATURE DISTRICT 36","RICK HOLDCROFT","Campaign Expense","Unknown","01/22/2024","250","CAMPAIGN FUNDRAISING FEES","Business (For-Profit and Non-Profit entities)","JBEST & COMPANY","","","","11235 DAVENPORT ST, SUITE 107","","OMAHA","NE","68154","01/12/2025","","","","N","","",""
"62477","7685","Candidate Committee","ELINA NEWMAN FOR CITY COUNCIL","ELINA NEWMAN","Campaign Expense","Unknown","01/22/2024","13","AMAZON WEB SERVICES","Candidate Committee","ELINA NEWMAN FOR CITY COUNCIL","","","","5610 HUNTS DRIVE","","LINCOLN","NE","68512","01/13/2025","","","","N","","",""
"65252","7688","Candidate Committee","JIM PILLEN FOR GOVERNOR","JIM PILLEN","Campaign Expense","Unknown","01/22/2024","251.47","REIMBURSEMENT- NO VENDOR OVER $250","Individual","CHANDLER","ANDIE","","","19626 T ST","","OMAHA","NE","68135","01/30/2025","","","","N","","",""
"65414","7688","Candidate Committee","JIM PILLEN FOR GOVERNOR","JIM PILLEN","Campaign Expense","Unknown","01/22/2024","218.06","INSURANCE","Business (For-Profit and Non-Profit entities)","EMC INSURANCE CO","","","","2121 N 117TH AVE #310","","OMAHA","NE","68164","01/30/2025","","","","N","","",""
"65450","7909","Candidate Committee","HARDIN FOR LEGISLATURE","BRIAN HARDIN","Campaign Expense","Unknown","01/22/2024","1200","MARKETING","Business (For-Profit and Non-Profit entities)","DBO DIGITAL MARKETING","","","","2017 3RD AVENUE","","SCOTTSBLUFF","NE","69361","01/31/2025","","","","N","","",""
"65726","7357","Candidate Committee","MACHAELA CAVANAUGH FOR LEGISLATURE","MACHAELA CAVANAUGH","Officeholder Expense specifically allowed by Statute","Unknown","01/22/2024","339.26","LODGING","Business (For-Profit and Non-Profit entities)","LINCOLN MARRIOTT CORNHUSKER","","","","333 S. 13TH STREET","","LINCOLN","NE","68508","01/31/2025","","","","N","","",""
"65839","7431","Candidate Committee","NEIGHBORS FOR MEGAN HUNT","MEGAN HUNT","Campaign Expense","Unknown","01/22/2024","109.77","CATERING","Business (For-Profit and Non-Profit entities)","HY-VEE","","","","7910 CASS STREET","","OMAHA","NE","68114","01/31/2025","","","","N","","",""
"65911","7431","Candidate Committee","NEIGHBORS FOR MEGAN HUNT","MEGAN HUNT","Campaign Expense","Unknown","01/22/2024","54","EMAIL SERVICE","Business (For-Profit and Non-Profit entities)","MAILCHIMP (ROCKET SCIENCE GROUP DBA)","","","","675 PONCE DE LEON AVE NE SUITE 5000","","ATLANTA","GA","30308","01/31/2025","","","","N","","",""
"66140","7360","Candidate Committee","ROB CLEMENTS FOR LEGISLATURE","ROBERT CLEMENTS","Campaign Expense","Unknown","01/22/2024","250","FUNDRAISER EVENT TICKETS","Candidate Committee","HARDIN FOR LEGISLATURE","","","","2770 CLUBHOUSE DRIVE","","GERING","NE","69341","01/31/2025","","","","N","","",""
"65470","8659","Nebraska Business Supplemental Filer","MILLARD GUTTER COMPANY","","Direct contribution","Unknown","01/22/2025","1000","","Candidate Committee","DON ROWE FOR OMAHA","","","","15077 SHARP STREET","","OMAHA","NE","68137","01/23/2025","","","","N","","",""
"65797","8688","Nebraska Business Supplemental Filer","SHE'S ELECTABLE NEBRASKA LLC","","Direct contribution","Unknown","01/22/2025","20000","","Ballot Question Committee","LINCOLN FOR FAIR HOUSING","","","","7715 PHARES DRIVE","","LINCOLN","NE","68516","01/27/2025","","","","N","","",""
"66432","8735","Ballot Question Committee","EPIC OPTION","","Campaign Expense","Unknown","01/22/2025","36.99","DELUXE CHECK BLANKS","Business (For-Profit and Non-Profit entities)","FNBO","","","","1500 MARKET LANE","","NORFOLK","NE","68701","02/05/2025","","","","N","","",""
"66566","7382","Candidate Committee","FESTERSEN FOR CITY COUNCIL","PETE FESTERSEN","Campaign Expense","Unknown","01/22/2025","50","NEWSLETTER AD","Business (For-Profit and Non-Profit entities)","NORTH OMAHA COMMERCIAL CLUB","","","","PO BOX 12011","","OMAHA","NE","68112","02/27/2025","","","","N","","",""
"66659","7458","Candidate Committee","FRIENDS OF MIKE MCDONNELL","MICHAEL MCDONNELL","Campaign Expense","Unknown","01/22/2025","15900","CAMPAIGN CONSULTING","Business (For-Profit and Non-Profit entities)","AMP RESEARCH","","","","4501 FAIRFAX DRICE","","ARLINGTON","VA","22203","03/03/2025","","","","N","","",""
"66824","7466","Candidate Committee","MELTON FOR OMAHA","AIMEE MELTON","Campaign Expense","Unknown","01/22/2025","9313.9","CONSULTING  PALM CARD DESIGN","Business (For-Profit and Non-Profit entities)","FLYOVER STRATEGIES, LLC","","","","18128 GRETCHEN AVE","","ELKHORN","NE","68022","03/03/2025","","","","N","","",""
"66828","7466","Candidate Committee","MELTON FOR OMAHA","AIMEE MELTON","Campaign Expense","Unknown","01/22/2025","2189.51","PRINTING","Business (For-Profit and Non-Profit entities)","PIP MARKETING, SIGNS AND PRINT","","","","11067 W. MAPLE RD","","OMAHA","NE","68164","03/03/2025","","","","N","","",""
"66864","7559","Candidate Committee","COMMITTEE TO ELECT JOHN EWING","JOHN EWING","Campaign Expense","Unknown","01/22/2025","100","FILING FEE","Business (For-Profit and Non-Profit entities)","CITY OF OMAHA","","","","1819 FARNAM STREET","","OMAHA","NE","68183","03/03/2025","","","","N","","",""
"66910","9743","Candidate Committee","ADAMS FOR OMAHA","ANDREW ADAMS","Campaign Expense","Unknown","01/22/2025","11","ADVERTISING","Business (For-Profit and Non-Profit entities)","FACEBOOK","","","","1 HACKER WAY","","MENLO PARK","CA","94025","03/02/2025","","","","N","","",""
"66991","7712","PAC-Separate Segregated Political Fund","IRONWORKERS LOCAL UNION 21 LEGISLATIVE FUND PAC","","Disbursement to Federal/Out of State Candidates","Unknown","01/22/2025","1513.3","","State or Federal","FEDERAL","","","","","","","","","03/03/2025","","","","N","","",""
"67069","7651","Candidate Committee","JUANITA JOHNSON FOR CITY COUNCIL","JUANITA JOHNSON","Campaign Expense","Unknown","01/22/2025","5000","LEGAL FEES","Business (For-Profit and Non-Profit entities)","POTSO MAHLANGENI-BYNDON","","","","2016 FOWLER AVE","","OMAHA","NE","68110","03/03/2025","","","","N","","",""
"42488","7427","Candidate Committee","FRIENDS OF DEB HOUGHTALING SARPY COUNTY CLERK/ROD","DEBRA HOUGHTALING","Officeholder Expense specifically allowed by Statute","Unknown","01/23/2024","100","CONTRIBUTION TO CANDIDATE TOM STRIGENZ PUBLIC DEFENDER PAYEES OF $250 OR LESS","Individual","STRIGENZ","TOM","","","1203 WASHINGTON ST","","PAPILLION","NE","68046","01/03/2025","","","","N","SARPY COUNTY","PUBLIC DEFENDER","SARPY COUNTY COURTHOUSE"
"62478","7685","Candidate Committee","ELINA NEWMAN FOR CITY COUNCIL","ELINA NEWMAN","Campaign Expense","Unknown","01/23/2024","25","PLUMTHUMB - WEBSITE","Candidate Committee","ELINA NEWMAN FOR CITY COUNCIL","","","","5610 HUNTS DRIVE","","LINCOLN","NE","68512","01/13/2025","","","","N","","",""
"64742","7428","Candidate Committee","HOWARD FOR MUD","GWEN HOWARD","Campaign Expense","Unknown","01/23/2024","100","CAMPAIGN EXPENSES","Individual","GORYNSKI","ALEC","","","2811 SOUTH 24TH STREET","","LINCOLN","NE","68502","01/21/2025","","","","N","","",""
"64952","7697","Candidate Committee","DON ROWE FOR OMAHA","DON ROWE","Campaign Expense","Unknown","01/23/2025","2108.55","POSTAGE FOR MAILINGS","Business (For-Profit and Non-Profit entities)","US POST OFFICE","","","","4433 S 133 ST","","OMAHA","NE","68137","03/03/2025","","","","N","","",""
"64964","7697","Candidate Committee","DON ROWE FOR OMAHA","DON ROWE","Campaign Expense","Unknown","01/23/2025","795.28","MAILERS & POSTAGE","Business (For-Profit and Non-Profit entities)","PETERSEN PRINTING","","","","4121 S 87TH STREET","","OMAHA","NE","68127","03/03/2025","","","","N","","",""
"66398","7872","Nebraska Business Supplemental Filer","GREAT PLAINS COMMUNICATIONS","","Direct contribution","Unknown","01/23/2025","250","","Candidate Committee","FRIENDS OF CHRISTY ARMENDARIZ","","","","16212 WEST MAPLE ROAD","","OMAHA","NE","68116","02/04/2025","","","","N","","",""
"66399","7872","Nebraska Business Supplemental Filer","GREAT PLAINS COMMUNICATIONS","","Direct contribution","Unknown","01/23/2025","1000","","Candidate Committee","COMMITTEE TO ELECT KEVIN STOCKER","","","","50265 PANORAMA DR","","SCOTTSBLUFF","NE","69361","02/04/2025","","","","N","","",""
"66472","7916","Nebraska Business Supplemental Filer","WOODMEN OF THE WORLD LIFE INSURANCE SOCIETY","","Direct contribution","Unknown","01/23/2025","5000","","Candidate Committee","JEAN STOTHERT FOR OMAHA","","","","5909 S 118TH PLAZA","","OMAHA","NE","68124","02/07/2025","","","","N","","",""
"66483","7905","Nebraska Business Supplemental Filer","KISSEL KOHOUT ES ASSOCIATES LLC","","Direct contribution","Unknown","01/23/2025","250","","Candidate Committee","MCKEON FOR LEGISLATURE","","","","9774 175TH ROAD","","AMHERST","NE","68812","02/09/2025","","","","N","","",""
"66668","7458","Candidate Committee","FRIENDS OF MIKE MCDONNELL","MICHAEL MCDONNELL","Campaign Expense","Unknown","01/23/2025","3500","CAMPAIGN CONSULTING","Business (For-Profit and Non-Profit entities)","RIVERFRONT STRATEGY GROUP","","","","4309 N. 136TH STREET","","OMAHA","NE","68164","03/03/2025","","","","N","","",""
"66806","7331","Candidate Committee","DANNY BEGLEY FOR OMAHA","DANNY BEGLEY","Campaign Expense","Unknown","01/23/2025","1750","WEB DESIGN","Individual","KIRAKOSYAN","VAHAN","","","215 NORTH TOLUCA ST","","LOS ANGELES","CA","90026","02/27/2025","","","","N","","",""
"66861","7559","Candidate Committee","COMMITTEE TO ELECT JOHN EWING","JOHN EWING","Campaign Expense","Unknown","01/23/2025","40","TICKETS TO BREAFAST","Political Party Committee","NEBRASKA DEMOCRATIC PARTY","","","","3701 O STREET","","LINCOLN","NE","68510","03/03/2025","","","","N","","",""
"38693","7938","Candidate Committee","KRISTI EGGER FOR LANCASTER COUNTY PUBLIC DEFENDER","KRISTI EGGER","Campaign Expense","Unknown","01/24/2024","36","SQUARESPACE WEBSITE BILL","Business (For-Profit and Non-Profit entities)","SQUARESPACE","","","","225 VARICK ST","","NEW YORK CITY","NY","10014","01/25/2025","","","","N","","",""
"64064","8848","Candidate Committee","MIRCH FOR NEBRASKA","CHRISTIAN MIRCH","Campaign Expense","Unknown","01/24/2024","510","CONSULTING","Business (For-Profit and Non-Profit entities)","JBEST & COMPANY","","","","11235 DAVENPORT ST, SUITE 107","","OMAHA","NE","68154","01/18/2025","","","","N","","",""
"65597","7407","Candidate Committee","HARDING FOR COUNCIL","D. BRINKER HARDING","Campaign Expense","Unknown","01/24/2024","1000","ELEPHANT REMEMBERS EVENT","Business (For-Profit and Non-Profit entities)","DOUGLAS COUNTY REPUBLICAN PARTY","","","","2819 S 125TH AVE SUITE 363","","OMAHA","NE","68144","01/29/2025","","","","N","","",""
"65598","7407","Candidate Committee","HARDING FOR COUNCIL","D. BRINKER HARDING","Campaign Expense","Unknown","01/24/2024","670.89","TECH REIMB","Individual","HARDING","BRINKER","","","2122 S 109TH ST","","OMAHA","NE","68144","01/29/2025","","","","N","","",""
"65599","7407","Candidate Committee","HARDING FOR COUNCIL","D. BRINKER HARDING","Campaign Expense","Unknown","01/24/2024","2923","LEGAL FEES","Business (For-Profit and Non-Profit entities)","HUSCH BLACKWELL LLP","","","","1620 DODGE STREET #2100","","OMAHA","NE","68102","01/29/2025","","","","Y","","",""
"65600","7407","Candidate Committee","HARDING FOR COUNCIL","D. BRINKER HARDING","Campaign Expense","Unknown","01/24/2024","1646","POLL","Business (For-Profit and Non-Profit entities)","CHASE MARKETING LLC","","","","4121 SOUTH 87TH STREET","","OMAHA","NE","68127","01/29/2025","","","","N","","",""
"66089","7458","Candidate Committee","FRIENDS OF MIKE MCDONNELL","MICHAEL MCDONNELL","Campaign Expense","Unknown","01/24/2024","1000","FUNDRAISER TICKETS","Candidate Committee","PENDRELL FOR NEBRASKA","","","","1202 WILLIAM STREET 222B","","OMAHA","NE","68108","01/31/2025","","","","N","","",""
"66327","7542","Candidate Committee","WAGNER FOR SHERIFF","TERRY T WAGNER","Officeholder Expense specifically allowed by Statute","Unknown","01/24/2024","100","CONTRIBUTION AT FUNDRAISER, FLOOD FOR CONGRESS","Federal PAC","MIKE FLOOD FOR US CONGRESS","","","","PO BOX 81041","","LINCOLN","NE","68501","02/03/2025","","","","N","","",""
"66771","7407","Candidate Committee","HARDING FOR COUNCIL","D. BRINKER HARDING","Campaign Expense","Unknown","01/24/2024","-2923","Offset due to update of filed item","Business (For-Profit and Non-Profit entities)","HUSCH BLACKWELL LLP","","","","1620 DODGE STREET #2100","","OMAHA","NE","68102","02/25/2025","","","","N","","",""
"66772","7407","Candidate Committee","HARDING FOR COUNCIL","D. BRINKER HARDING","Campaign Expense","Unknown","01/24/2024","2923","LEGAL FEES- RELATED TO MY OFFICIAL CAPACITY AS AN OMAHA CITY COUNCIL MEMBER","Business (For-Profit and Non-Profit entities)","HUSCH BLACKWELL LLP","","","","1620 DODGE STREET #2100","","OMAHA","NE","68102","02/25/2025","","","","N","","",""
"65699","7831","Nebraska Business Supplemental Filer","PEETZ & COMPANY","","Direct contribution","Unknown","01/24/2025","500","NCP; CS; 01.24.25; P&C","Candidate Committee","ROUNTREE FOR LEGISLATURE","","","","2903 SCHUEMANN DRIVE","","BELLEVUE","NE","68123","01/28/2025","","","","N","","",""
"66469","9302","Nebraska Business Supplemental Filer","DLR GROUP INC","","Direct contribution","Unknown","01/24/2025","1500","","Ballot Question Committee","YES FOR BPS COMMITTEE","","","","12212 N 156TH ST","","BENNINGTON","NE","68007","02/07/2025","","","","N","","",""
"66474","7995","Nebraska Business Supplemental Filer","APPLIED UNDERWRITERS, INC","","Direct contribution","Unknown","01/24/2025","20000","","Candidate Committee","JEAN STOTHERT FOR OMAHA","","","","5909 S 118TH PLAZA","","OMAHA","NE","68124","02/07/2025","","","","N","","",""
"66559","7382","Candidate Committee","FESTERSEN FOR CITY COUNCIL","PETE FESTERSEN","Campaign Expense","Unknown","01/24/2025","936.25","CAMPAIGN YARDSIGNS","Business (For-Profit and Non-Profit entities)","DESIGN 4 (AKA DESIGN FOUR INC., DESIGN4)","","","","3232 H STREET","","OMAHA","NE","68107","02/27/2025","","","","N","","",""
"66846","9823","Ballot Question Committee","VOTE YES FOR GMS COMMITTEE","","Campaign Expense","Unknown","01/24/2025","1397.5","YARD SIGNS","Business (For-Profit and Non-Profit entities)","LOGOZ, LLC","","","","1344 10TH STREET","","GERING","NE","69341","02/28/2025","","","","N","","",""
"67001","7840","PAC-Separate Segregated Political Fund","WERNER ENTERPRISES PAC","","Direct contribution","Unknown","01/24/2025","2500","","Candidate Committee","JEAN STOTHERT FOR OMAHA","","","","440 REGENCY PARKWAY STE 100","","OMAHA","NE","68114","03/03/2025","","","","N","","",""
"67070","7651","Candidate Committee","JUANITA JOHNSON FOR CITY COUNCIL","JUANITA JOHNSON","Campaign Expense","Unknown","01/24/2025","181.85","MAILERS | DOOR HANGERS | BUSINESS CARDS","Business (For-Profit and Non-Profit entities)","KNOCK OUT PRINT","","","","2925 S. 120TH ST","","OMAHA","NE","68114","03/03/2025","","","","N","","",""
"67086","9665","Candidate Committee","GOODWIN FOR CITY COUNCIL","LAVONYA GOODWIN","Campaign Expense","Unknown","01/24/2025","475.91","CAMPAIGN PROMOTIONAL MATERIAL","Candidate Committee","GOODWIN FOR CITY COUNCIL","","","","4111 N 18TH STREET","","OMAHA","NE","68110","03/03/2025","","","","N","","",""
"61421","7322","Candidate Committee","FRIENDS FOR CRYSTAL RHOADES","CRYSTAL RHOADES","Officeholder Expense specifically allowed by Statute","Unknown","01/25/2024","30","QUICKBOOKS ONLINE SUBSCRIPTION TO TRACK CAMPAIGN FINANCES","Business (For-Profit and Non-Profit entities)","INTUIT","","","","7525 TORREY SANTA FE RD","","SAN DIEGO","CA","92129","01/11/2025","","","","N","","",""
"65291","7688","Candidate Committee","JIM PILLEN FOR GOVERNOR","JIM PILLEN","Campaign Expense","Unknown","01/25/2024","160","DATABASE","Business (For-Profit and Non-Profit entities)","CONSTANT CONTACT","","","","1601 TRAPEO RD","SUITE 329","WALTHAM","MA","02451","01/30/2025","","","","N","","",""
"65845","7431","Candidate Committee","NEIGHBORS FOR MEGAN HUNT","MEGAN HUNT","Campaign Expense","Unknown","01/25/2024","254.98","CATERING","Business (For-Profit and Non-Profit entities)","HY-VEE","","","","7910 CASS STREET","","OMAHA","NE","68114","01/31/2025","","","","N","","",""
"67139","7410","Candidate Committee","FRIENDS FOR JASMINE L HARRIS","JASMINE L HARRIS","Campaign Expense","Unknown","01/25/2025","3714.5","CAMPAIGN CONTRACT FOR SERVICES","Individual","FULL","BRI","","","603 N. 36TH STREET","APT 4","OMAHA","NE","68131","03/04/2025","","","","N","","",""
"43681","7699","Candidate Committee","ANNA WISHART FOR LEGISLATURE","ANNA WISHART","Campaign Expense","Unknown","01/26/2024","84.82","MEALS/MEETINGS","Business (For-Profit and Non-Profit entities)","DISH RESTAURANT","","","","1100 E O ST","","LINCOLN","NE","68508","01/27/2025","","","","N","","",""
"61377","7319","Candidate Committee","JONI ALBRECHT FOR LEGISLATURE","JONI ALBRECHT","Campaign Expense","Unknown","01/26/2024","864","FUNDRAISER TICKETS","PAC-Separate Segregated Political Fund","NEBRASKA RIGHT TO LIFE PAC","","","","701 P STREET","SUITE 305","LINCOLN","NE","68501","01/06/2025","","","","N","","",""
"64565","7456","Candidate Committee","JOHN LOWE FOR LEGISLATURE","JOHN LOWE","Campaign Expense","Unknown","01/26/2024","42","FUEL","Business (For-Profit and Non-Profit entities)","PUMP & PANTRY","","","","345 W O ST","","LINCOLN","NE","68528","01/21/2025","","","","N","","",""
"65566","7357","Candidate Committee","MACHAELA CAVANAUGH FOR LEGISLATURE","MACHAELA CAVANAUGH","Campaign Expense","Unknown","01/26/2024","77.79","DATABASE SOLUTIONS","Business (For-Profit and Non-Profit entities)","AIRTABLE","","","","799 MARKET STREET","","SAN FRANSISCO","CA","94103","01/31/2025","","","","N","","",""
"65769","7357","Candidate Committee","MACHAELA CAVANAUGH FOR LEGISLATURE","MACHAELA CAVANAUGH","Officeholder Expense specifically allowed by Statute","Unknown","01/26/2024","49.95","TRAVEL EXPENSE","Business (For-Profit and Non-Profit entities)","INTELSAT","","","","7900 TYSONS ONE PLACE","","MCLEON","VA","22102","01/31/2025","","","","N","","",""
"65849","7431","Candidate Committee","NEIGHBORS FOR MEGAN HUNT","MEGAN HUNT","Campaign Expense","Unknown","01/26/2024","136.54","OFFICE SUPPLIES","Business (For-Profit and Non-Profit entities)","PETCO","","","","7110 DODGE ST","","OMAHA","NE","68132","01/31/2025","","","","N","","",""
"65945","7431","Candidate Committee","NEIGHBORS FOR MEGAN HUNT","MEGAN HUNT","Campaign Expense","Unknown","01/26/2024","195.43","CAMPAIGN MEETING","Business (For-Profit and Non-Profit entities)","YOSHIMOTO OMAHA","","","","6009 MAPLE STREET","","OMAHA","NE","68104","01/31/2025","","","","N","","",""
"66862","7559","Candidate Committee","COMMITTEE TO ELECT JOHN EWING","JOHN EWING","Campaign Expense","Unknown","01/26/2025","140","VIDEO CAMPAIGN","Business (For-Profit and Non-Profit entities)","AILLEEN CAVANAUGH","","","","5608 JACKSON ST","","OMAHA","NE","68106","03/03/2025","","","","N","","",""
"61918","7325","Candidate Committee","CITIZENS TO ELECT JOHN ARCH","JOHN ARCH","Campaign Expense","Unknown","01/27/2024","249.82","SESSION LODGING","Business (For-Profit and Non-Profit entities)","THE SCARLET HOTEL","","","","2101 TRANSFORMATION DRIVE","","LINCOLN","NE","68508","01/13/2025","","","","N","","",""
"62459","8990","Candidate Committee","SARAH CENTINEO FOR LEGISLATURE","SARAH CENTINEO","Campaign Expense","Unknown","01/27/2024","1500","CONSULTING","Business (For-Profit and Non-Profit entities)","BLOOD COMMUNICATIONS","","","","2812 JACK PINE ST","","BELLEVUE","NE","68123","01/12/2025","","","","N","","",""
"64452","7532","Candidate Committee","JEAN STOTHERT FOR OMAHA","JEAN STOTHERT","Third Party Expenditure","Third Party Expenditure","01/27/2024","30","SOFTWARE","Business (For-Profit and Non-Profit entities)","INTUIT","","","","7525 TORREY SANTA FE RD","","SAN DIEGO","CA","92129","01/31/2025","","","","N","","",""
"65799","7697","Candidate Committee","DON ROWE FOR OMAHA","DON ROWE","Campaign Expense","Unknown","01/27/2025","3.38","TRANSACTION FEE","Business (For-Profit and Non-Profit entities)","PAYPAL INC.","","","","P.O. BOX 7022","","MOUNTAIN VIEW","CA","94039","03/03/2025","","","","N","","",""
"65922","9778","Nebraska Business Supplemental Filer","SEACREST & KALKOWSKI, PC, LLO","","Direct contribution","Unknown","01/27/2025","2000","","Ballot Question Committee","FIX LINCOLN STREETS","","","","1128 LINCOLN MALL STE 105","","LINCOLN","NE","68508","01/30/2025","","","","N","","",""
